Country,Code,Year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
Northern Mariana Islands,MNP,1992,1,46473,0.002151787
Norway,NOR,1992,261,4286401,0.006089024
Oman,OMN,1992,26,1983272,0.001310965
Pakistan,PAK,1992,536,113911126,0.000470542
Palau,PLW,1992,0,15859,0
Palestine,PSE,1992,4,2163591,0.000184878
Panama,PAN,1992,1098,2575949,0.042625067
Papua New Guinea,PNG,1992,371,4836216,0.007671287
Paraguay,PRY,1992,152,4445019,0.003419558
Peru,PER,1992,1916,22966822,0.008342469
Philippines,PHL,1992,1710,65020124,0.002629955
Poland,POL,1992,502,38363667,0.00130853
Portugal,PRT,1992,2602,9952494,0.026144201
Puerto Rico,PRI,1992,1259,3585176,0.035116826
Qatar,QAT,1992,5,495403,0.001009279
Romania,ROU,1992,372,22794284,0.001631988
Russia,RUS,1992,6235,148538197,0.004197574
Rwanda,RWA,1992,26579,6702239,0.396568967
Saint Kitts and Nevis,KNA,1992,14,40691,0.034405643
Saint Lucia,LCA,1992,21,141758,0.014813979
Saint Vincent and the Grenadines,VCT,1992,58,107941,0.053733058
Samoa,WSM,1992,7,165490,0.004229863
San Marino,SMR,1992,1,24830,0.004027386
Sao Tome and Principe,STP,1992,2,124574,0.001605471
Saudi Arabia,SAU,1992,272,17282686,0.001573829
Senegal,SEN,1992,4512,7990090,0.056469952
Serbia,SRB,1992,42,7646424,0.000549276
Seychelles,SYC,1992,10,70763,0.014131679
Sierra Leone,SLE,1992,2189,4347727,0.050348147
Slovakia,SVK,1992,10,5305016,0.000188501
Slovenia,SVN,1992,11,1996498,0.000550965
Solomon Islands,SLB,1992,17,330004,0.005151453
Somalia,SOM,1992,2693,7295380,0.036913773
South Africa,ZAF,1992,169180,38672611,0.43746723
South Sudan,SSD,1992,5397,5305449,0.101725603
Spain,ESP,1992,5013,39157685,0.012802085
Sri Lanka,LKA,1992,126,17736827,0.000710386
Sudan,SDN,1992,3719,21696240,0.017141219
Suriname,SUR,1992,184,420658,0.043740996
Sweden,SWE,1992,196,8668067,0.002261173
Switzerland,CHE,1992,1137,6875364,0.016537306
Syria,SYR,1992,23,13187669,0.000174405
Tajikistan,TJK,1992,109,5502490,0.001980921
Tanzania,TZA,1992,215782,26961204,0.800342596
Thailand,THA,1992,84443,57811025,0.146067294
Timor,TLS,1992,774,783204,0.098824827
Togo,TGO,1992,10782,3945902,0.273245509
Tonga,TON,1992,1,95398,0.00104824
Trinidad and Tobago,TTO,1992,572,1236685,0.046252684
Tunisia,TUN,1992,47,8613855,0.000545633
Turkey,TUR,1992,64,55748946,0.0001148
Turkmenistan,TKM,1992,302,3899843,0.007743901
Tuvalu,TUV,1992,0,9110,0
Uganda,UGA,1992,129421,18561668,0.69724876
Ukraine,UKR,1992,4803,52150400,0.009209901
United Arab Emirates,ARE,1992,14,2052892,0.000681965
United Kingdom,GBR,1992,1978,57580402,0.003435197
United States,USA,1992,47508,256514000,0.018520627
United States Virgin Islands,VIR,1992,20,105712,0.018919328
Uruguay,URY,1992,442,3154459,0.014011911
Uzbekistan,UZB,1992,534,21449000,0.002489627
Vanuatu,VUT,1992,7,155176,0.004511007
Venezuela,VEN,1992,2632,20557694,0.012802992
Vietnam,VNM,1992,4321,70883488,0.006095919
Yemen,YEM,1992,197,12954157,0.001520747
Zambia,ZMB,1992,115616,8451346,1.368018775
Zimbabwe,ZWE,1992,215082,10900511,1.973136856
Afghanistan,AFG,1993,127,15816601,0.000802954
Albania,ALB,1993,4,3227287,0.000123943
Algeria,DZA,1993,173,27635517,0.000626006
American Samoa,ASM,1993,1,51025,0.001959824
Andorra,AND,1993,4,60974,0.006560173
Angola,AGO,1993,6624,13075044,0.050661397
Antigua and Barbuda,ATG,1993,16,65777,0.024324612
Argentina,ARG,1993,5398,33970103,0.015890443
Armenia,ARM,1993,2,3363111,5.94687E-05
Australia,AUS,1993,988,17667000,0.005592347
Austria,AUT,1993,507,7905633,0.006413149
Azerbaijan,AZE,1993,59,7494800,0.000787212
Bahamas,BHS,1993,272,271065,0.100344936
Bahrain,BHR,1993,14,536212,0.002610908
Bangladesh,BGD,1993,0,110350641,0
Barbados,BRB,1993,87,263869,0.032970906
Belarus,BLR,1993,213,10239050,0.002080271
Belgium,BEL,1993,1081,10084475,0.010719447
Belize,BLZ,1993,73,197625,0.036938646
Benin,BEN,1993,8215,5521761,0.148775001
Bermuda,BMU,1993,19,58910,0.032252589
Bhutan,BTN,1993,22,532590,0.004130757
Bolivia,BOL,1993,786,7312857,0.010748193
Bosnia and Herzegovina,BIH,1993,5,4078940,0.000122581
Botswana,BWA,1993,33045,1399110,2.36185861
Brazil,BRA,1993,26734,156849086,0.017044409
Brunei,BRN,1993,7,281684,0.002485054
Bulgaria,BGR,1993,114,8472313,0.001345559
Burkina Faso,BFA,1993,20725,9552473,0.216959525
Burundi,BDI,1993,33067,5798054,0.570312039
Cambodia,KHM,1993,16321,9970727,0.163689167
Cameroon,CMR,1993,40708,12864091,0.316446766
Canada,CAN,1993,2190,28684764,0.007634715
Cape Verde,CPV,1993,310,366057,0.084686265
Central African Republic,CAF,1993,21884,3046148,0.71841552
Chad,TCD,1993,10338,6563925,0.157497229
Chile,CHL,1993,1025,13944934,0.00735034
China,CHN,1993,14475,1178440000,0.001228319
Colombia,COL,1993,3371,35091272,0.009606377
Comoros,COM,1993,0,449270,0
Congo,COG,1993,10020,2559880,0.391424598
Costa Rica,CRI,1993,214,3372298,0.006345821
Cote d'Ivoire,CIV,1993,118782,13271638,0.895006329
Croatia,HRV,1993,45,4600463,0.000978162
