country,code,Age,Number_of_deaths,Continent
Niger,NER,5 to 14,1713,Africa
Nigeria,NGA,5 to 14,29511,Africa
North Korea,PRK,5 to 14,87,Asia
North Macedonia,MKD,5 to 14,0,Europe
Northern Mariana Islands,MNP,5 to 14,0,Oceania
Norway,NOR,5 to 14,6,Europe
Oman,OMN,5 to 14,12,Asia
Pakistan,PAK,5 to 14,481,Asia
Palau,PLW,5 to 14,0,North America
Palestine,PSE,5 to 14,0,Asia
Panama,PAN,5 to 14,93,Oceania
Papua New Guinea,PNG,5 to 14,846,South America
Paraguay,PRY,5 to 14,155,South America
Peru,PER,5 to 14,1166,Asia
Philippines,PHL,5 to 14,6954,Europe
Poland,POL,5 to 14,63,Europe
Portugal,PRT,5 to 14,45,Europe
Puerto Rico,PRI,5 to 14,82,North America
Qatar,QAT,5 to 14,0,Asia
Romania,ROU,5 to 14,3562,Europe
Russia,RUS,5 to 14,2458,Europe
Rwanda,RWA,5 to 14,6488,Africa
Saint Kitts and Nevis,KNA,5 to 14,0,North America
Saint Lucia,LCA,5 to 14,0,North America
Saint Vincent and the Grenadines,VCT,5 to 14,4,North America
Samoa,WSM,5 to 14,0,Oceania
San Marino,SMR,5 to 14,0,Europe
Sao Tome and Principe,STP,5 to 14,0,Africa
Saudi Arabia,SAU,5 to 14,174,Asia
Senegal,SEN,5 to 14,1804,Africa
Serbia,SRB,5 to 14,23,Europe
Seychelles,SYC,5 to 14,0,Africa
Sierra Leone,SLE,5 to 14,1533,Africa
Singapore,SGP,5 to 14,0,Asia
Slovakia,SVK,5 to 14,0,Oceania
Slovenia,SVN,5 to 14,0,Europe
Solomon Islands,SLB,5 to 14,18,Oceania
Somalia,SOM,5 to 14,3574,Africa
South Africa,ZAF,5 to 14,79275,Africa
South Korea,KOR,5 to 14,35,Asia
South Sudan,SSD,5 to 14,2776,Africa
Spain,ESP,5 to 14,274,Europe
Sri Lanka,LKA,5 to 14,25,Asia
Sudan,SDN,5 to 14,1463,Africa
Suriname,SUR,5 to 14,43,South America
Sweden,SWE,5 to 14,8,Europe
Switzerland,CHE,5 to 14,13,Europe
Syria,SYR,5 to 14,15,Asia
Tajikistan,TJK,5 to 14,9,Asia
Tanzania,TZA,5 to 14,59073,Africa
Thailand,THA,5 to 14,2358,Asia
Timor-Leste,TLS,5 to 14,197,Asia
Togo,TGO,5 to 14,5323,Africa
Tonga,TON,5 to 14,0,Oceania
Trinidad and Tobago,TTO,5 to 14,88,North America
Tunisia,TUN,5 to 14,18,Africa
Turkey,TUR,5 to 14,27,Asia
Turkmenistan,TKM,5 to 14,22,Asia
Tuvalu,TUV,5 to 14,0,Oceania
Uganda,UGA,5 to 14,95648,Africa
Ukraine,UKR,5 to 14,372,Europe
United Arab Emirates,ARE,5 to 14,7,Asia
United Kingdom,GBR,5 to 14,125,Europe
United States of America,USA,5 to 14,2097,North America
Uruguay,URY,5 to 14,19,South America
Uzbekistan,UZB,5 to 14,262,Asia
Vanuatu,VUT,5 to 14,0,Oceania
Venezuela,VEN,5 to 14,499,South America
Vietnam,VNM,5 to 14,766,Asia
Yemen,YEM,5 to 14,129,Asia
Zambia,ZMB,5 to 14,37951,Africa
Zimbabwe,ZWE,5 to 14,42604,Africa
Afghanistan,AFG,15 to 49,2485,Asia
Albania,ALB,15 to 49,30,Europe
Algeria,DZA,15 to 49,3507,Africa
American Samoa,ASM,15 to 49,0,Oceania
Andorra,AND,15 to 49,47,Europe
Angola,AGO,15 to 49,165907,Africa
Antigua and Barbuda,ATG,15 to 49,185,North America
Argentina,ARG,15 to 49,38079,South America
Armenia,ARM,15 to 49,211,Europe
Australia,AUS,15 to 49,4393,Oceania
Austria,AUT,15 to 49,1476,Europe
Azerbaijan,AZE,15 to 49,959,Europe
Bahamas,BHS,15 to 49,3888,North America
Bahrain,BHR,15 to 49,205,Asia
Bangladesh,BGD,15 to 49,2864,Asia
Barbados,BRB,15 to 49,877,North America
Belarus,BLR,15 to 49,6374,Europe
Belgium,BEL,15 to 49,1747,Europe
Belize,BLZ,15 to 49,1461,North America
Benin,BEN,15 to 49,48979,Africa
Bermuda,BMU,15 to 49,210,North America
Bhutan,BTN,15 to 49,426,Asia
Bolivia,BOL,15 to 49,12048,South America
Bosnia and Herzegovina,BIH,15 to 49,46,Europe
Botswana,BWA,15 to 49,199864,Africa
Brazil,BRA,15 to 49,337350,South America
Brunei,BRN,15 to 49,63,Asia
Bulgaria,BGR,15 to 49,1065,Europe
Burkina Faso,BFA,15 to 49,214060,Africa
Burundi,BDI,15 to 49,208080,Africa
Cambodia,KHM,15 to 49,75723,Asia
Cameroon,CMR,15 to 49,514686,Africa
Canada,CAN,15 to 49,13119,North America
Cape Verde,CPV,15 to 49,2002,Africa
Central African Republic,CAF,15 to 49,194241,Africa
Chad,TCD,15 to 49,87942,Africa
Chile,CHL,15 to 49,9534,South America
China,CHN,15 to 49,264863,Asia
Colombia,COL,15 to 49,46676,South America
Comoros,COM,15 to 49,16,Africa
Congo,COG,15 to 49,127746,Africa
Costa Rica,CRI,15 to 49,3205,North America
Cote d'Ivoire,CIV,15 to 49,725031,Africa
Croatia,HRV,15 to 49,167,Europe
Cuba,CUB,15 to 49,4412,North America
Cyprus,CYP,15 to 49,42,Europe
Czechia,CZE,15 to 49,197,Europe
